species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dS,dN,dE
827,45628,5,12.96,54,1,134,25093.04262154195,0.0,0.0,-3.0,-18.0,1911.2550532879832
1677,45529,1,4.0,55,7,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1677,45529,2,4.0,54,7,156,22503.36972222222,0.0,3.290000000000001,5.0,-6.0,46284.53369444444
1677,45529,3,7.290000000000001,59,7,150,68787.90341666667,0.0,2.3200000000000003,-3.0,-9.0,-57609.4861
1677,45613,1,1.0,55,7,159,45818.241388888884,0.0,1.25,-1.0,-3.0,-23314.871666666662
1677,45638,1,1.0,55,7,159,45818.241388888884,0.0,3.0,-1.0,-3.0,-23314.871666666662
1677,45638,2,4.0,54,7,156,22503.36972222222,0.0,8.96,5.0,-6.0,46284.53369444444
1677,45638,3,12.96,59,7,150,68787.90341666667,0.0,14.080000000000002,-3.0,-9.0,-57609.4861
1677,45638,4,27.040000000000003,56,7,141,11178.417316666668,-2.0,8.959999999999997,-2.0,-7.0,13914.625304875282
1677,45638,5,36.0,54,5,134,25093.04262154195,0.0,3.6899999999999977,-3.0,-18.0,1911.2550532879832
1677,45638,6,39.69,51,5,116,27004.297674829933,0.0,1.2700000000000102,-2.0,-6.0,1044.1554501700703
1677,45638,7,40.96000000000001,49,5,110,28048.453125000004,0.0,5.279999999999987,5.0,8.0,4033.6315326530603
1677,45643,1,2.25,55,7,159,45818.241388888884,0.0,1.75,-1.0,-3.0,-23314.871666666662
1677,45643,2,4.0,54,7,156,22503.36972222222,0.0,5.610000000000001,5.0,-6.0,46284.53369444444
1677,45643,3,9.610000000000001,59,7,150,68787.90341666667,0.0,1.9499999999999975,-3.0,-9.0,-57609.4861
1677,45643,4,11.559999999999999,56,7,141,11178.417316666668,-2.0,4.440000000000001,-2.0,-7.0,13914.625304875282
1677,45643,5,16.0,54,5,134,25093.04262154195,0.0,15.359999999999996,-3.0,-18.0,1911.2550532879832
1677,45643,6,31.359999999999996,51,5,116,27004.297674829933,0.0,9.600000000000012,-2.0,-6.0,1044.1554501700703
1677,45643,7,40.96000000000001,49,5,110,28048.453125000004,0.0,32.999999999999986,5.0,8.0,4033.6315326530603
1677,45653,1,1.0,55,7,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1677,45653,2,1.0,54,7,156,22503.36972222222,0.0,2.24,5.0,-6.0,46284.53369444444
1677,45653,3,3.24,59,7,150,68787.90341666667,0.0,2.049999999999999,-3.0,-9.0,-57609.4861
1677,45653,4,5.289999999999999,56,7,141,11178.417316666668,-2.0,0.9600000000000009,-2.0,-7.0,13914.625304875282
1677,45653,5,6.25,54,5,134,25093.04262154195,0.0,0.0,-3.0,-18.0,1911.2550532879832
1677,45653,6,6.25,51,5,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
1677,45653,7,6.25,49,5,110,28048.453125000004,0.0,1.040000000000001,5.0,8.0,4033.6315326530603
1677,45661,1,1.0,55,7,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1677,45661,4,3.24,56,7,141,11178.417316666668,-2.0,1.17,-2.0,-7.0,13914.625304875282
1677,45661,5,4.41,54,5,134,25093.04262154195,0.0,2.880000000000001,-3.0,-18.0,1911.2550532879832
1677,45661,6,7.290000000000001,51,5,116,27004.297674829933,0.0,1.1199999999999992,-2.0,-6.0,1044.1554501700703
1677,45661,7,8.41,49,5,110,28048.453125000004,0.0,3.84,5.0,8.0,4033.6315326530603
1677,48441,1,6.25,55,7,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
1677,48441,2,6.25,54,7,156,22503.36972222222,0.0,4.639999999999999,5.0,-6.0,46284.53369444444
1677,298137,3,1.2100000000000002,59,7,150,68787.90341666667,0.0,0.48,-3.0,-9.0,-57609.4861
1677,298144,3,1.0,59,7,150,68787.90341666667,0.0,0.0,-3.0,-9.0,-57609.4861
1677,340965,5,1.0,54,5,134,25093.04262154195,0.0,0.6900000000000002,-3.0,-18.0,1911.2550532879832
1677,340965,6,1.6900000000000002,51,5,116,27004.297674829933,0.0,0.0,-2.0,-6.0,1044.1554501700703
1677,340965,7,1.6900000000000002,49,5,110,28048.453125000004,0.0,4.56,5.0,8.0,4033.6315326530603
828,45555,1,16.0,55,1,159,45818.241388888884,0.0,0.0,-1.0,-3.0,-23314.871666666662
828,45555,4,3.24,56,2,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
828,45555,5,3.24,54,2,134,25093.04262154195,-1.0,1.17,-3.0,-18.0,1911.2550532879832
828,45555,6,4.41,51,1,116,27004.297674829933,0.0,1.3499999999999996,-2.0,-6.0,1044.1554501700703
828,45555,7,5.76,49,1,110,28048.453125000004,2.0,7.9300000000000015,5.0,8.0,4033.6315326530603
828,298148,3,1.9599999999999997,59,1,150,68787.90341666667,1.0,0.9299999999999999,-3.0,-9.0,-57609.4861
828,298148,4,2.8899999999999997,56,2,141,11178.417316666668,0.0,4.949999999999999,-2.0,-7.0,13914.625304875282
135,363594,6,3.61,51,1,116,27004.297674829933,0.0,1.2300000000000009,-2.0,-6.0,1044.1554501700703
135,363594,7,4.840000000000001,49,1,110,28048.453125000004,0.0,7.409999999999999,5.0,8.0,4033.6315326530603
1539,45575,1,2.25,55,3,159,45818.241388888884,1.0,0.8125,-1.0,-3.0,-23314.871666666662
1539,45590,1,1.5625,55,3,159,45818.241388888884,1.0,0.0,-1.0,-3.0,-23314.871666666662
1539,45590,2,1.5625,54,4,156,22503.36972222222,-1.0,1.5,5.0,-6.0,46284.53369444444
1539,45590,3,3.0625,59,3,150,68787.90341666667,0.0,0.1775000000000002,-3.0,-9.0,-57609.4861
1539,45590,4,3.24,56,3,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
1539,45590,5,3.24,54,3,134,25093.04262154195,0.0,0.0,-3.0,-18.0,1911.2550532879832
1539,45590,6,3.24,51,3,116,27004.297674829933,0.0,1.17,-2.0,-6.0,1044.1554501700703
1539,45596,1,2.25,55,3,159,45818.241388888884,1.0,1.75,-1.0,-3.0,-23314.871666666662
1539,45596,2,4.0,54,4,156,22503.36972222222,-1.0,5.0,5.0,-6.0,46284.53369444444
