census,species,n,N_t,S_t,dn,dN/S,dS
3,7,12.630168139562468,212.72950067062715,12,4.217631251555385,6.174894027179448,0
3,8,41.09142461024976,212.72950067062715,12,14.591305318785217,6.174894027179448,0
3,9,17.98148572117032,212.72950067062715,12,6.8942354608229515,6.174894027179448,0
3,10,5.860335742063136,212.72950067062715,12,2.2018712407215775,6.174894027179448,0
3,11,16.51500308229757,212.72950067062715,12,5.010446775654877,6.174894027179448,0
4,0,61.181267323560206,286.8282289967805,12,16.293268511149677,6.3898739324384195,0
4,1,3.423818267465781,286.8282289967805,12,0.7592471119673538,6.3898739324384195,0
4,2,0.18689174340804424,286.8282289967805,12,0.0619607518115142,6.3898739324384195,0
4,3,47.95615328768081,286.8282289967805,12,12.063437100703943,6.3898739324384195,0
4,4,8.491171966663382,286.8282289967805,12,2.13938167122798,6.3898739324384195,0
4,5,6.351523275262684,286.8282289967805,12,2.064175566345188,6.3898739324384195,0
4,6,32.24349578985639,286.8282289967805,12,9.10270673898227,6.3898739324384195,0
4,7,16.847799391117853,286.8282289967805,12,4.185415903847844,6.3898739324384195,0
4,8,55.68272992903498,286.8282289967805,12,15.33818972443865,6.3898739324384195,0
4,9,24.87572118199327,286.8282289967805,12,7.684063024631428,6.3898739324384195,0
4,10,8.062206982784714,286.8282289967805,12,2.4244711652233164,6.3898739324384195,0
4,11,21.52544985795245,286.8282289967805,12,4.562169918931836,6.3898739324384195,0
5,0,77.47453583470988,363.50671618604156,12,14.982748187820306,5.889649270804322,0
5,1,4.183065379433135,363.50671618604156,12,0.589888016151634,5.889649270804322,0
5,2,0.24885249521955843,363.50671618604156,12,0.06660329444085356,5.889649270804322,0
5,3,60.019590388384756,363.50671618604156,12,10.585338078945796,5.889649270804322,0
5,4,10.630553637891362,363.50671618604156,12,1.8575529392052523,5.889649270804322,0
5,5,8.415698841607872,363.50671618604156,12,2.182310634673465,5.889649270804322,0
5,6,41.34620252883866,363.50671618604156,12,8.710190216424408,5.889649270804322,0
5,7,21.033215294965697,363.50671618604156,12,3.595893404163842,5.889649270804322,0
5,8,71.02091965347363,363.50671618604156,12,14.455527929094757,5.889649270804322,0
5,9,32.5597842066247,363.50671618604156,12,7.821297101327403,5.889649270804322,0
5,10,10.48667814800803,363.50671618604156,12,2.438857104492161,5.889649270804322,0
5,11,26.087619776884285,363.50671618604156,12,3.389584342911995,5.889649270804322,0
6,0,92.45728402253019,434.1825074356934,12,12.376052837777877,4.877659258512608,0
6,1,4.772953395584769,434.1825074356934,12,0.3588028740106992,4.877659258512608,0
6,2,0.315455789660412,434.1825074356934,12,0.06744389559825431,4.877659258512608,0
6,3,70.60492846733055,434.1825074356934,12,8.130555931042906,4.877659258512608,0
6,4,12.488106577096614,434.1825074356934,12,1.3846125515898287,4.877659258512608,0
6,5,10.598009476281337,434.1825074356934,12,2.1588011904651108,4.877659258512608,0
6,6,50.05639274526307,434.1825074356934,12,7.57733689364548,4.877659258512608,0
6,7,24.62910869912954,434.1825074356934,12,2.638062993843157,4.877659258512608,0
6,8,85.47644758256838,434.1825074356934,12,12.347596427048117,4.877659258512608,0
6,9,40.3810813079521,434.1825074356934,12,7.354160895503732,4.877659258512608,0
6,10,12.925535252500191,434.1825074356934,12,2.276082854456188,4.877659258512608,0
6,11,29.47720411979628,434.1825074356934,12,1.862401757169934,4.877659258512608,0
7,0,104.83333686030807,492.7144185378447,12,9.346955857830054,3.693023519639828,0
7,1,5.131756269595468,492.7144185378447,12,0.1314901826377568,3.693023519639828,0
7,2,0.3828996852586663,492.7144185378447,12,0.06585705040029027,3.693023519639828,0
7,3,78.73548439837346,492.7144185378447,12,5.457398333521141,3.693023519639828,0
7,4,13.872719128686443,492.7144185378447,12,0.8591310955005138,3.693023519639828,0
7,5,12.756810666746448,492.7144185378447,12,2.0433737378920522,3.693023519639828,0
