species,census,n,m,S_t,N_t,E_t,dn,dm,dS,dN,dE
Swainsons Thrush,1999,0.0,8.093658950385223,16.0,85.0,476.2730191715749,0.0,0.0,2.0,5.0,3.440010963380473
Swainsons Thrush,2000,0.0,8.093658950385223,18.0,90.0,479.7130301349554,4.0,0.0,3.0,3.0,44.599534938248894
Swainsons Thrush,2001,4.0,8.093658950385223,21.0,93.0,524.3125650732043,-3.8,0.0,-1.0,-21.0,-137.68102418134663
Swainsons Thrush,2002,0.2,8.093658950385223,20.0,72.0,386.63154089185764,0.0,0.0,-1.0,18.0,156.1055548649574
Swainsons Thrush,2003,0.2,8.093658950385223,19.0,90.0,542.737095756815,0.0,0.0,3.0,-12.0,-43.556870489634775
Swainsons Thrush,2004,0.2,8.093658950385223,22.0,78.0,499.1802252671803,0.0,0.0,-3.0,18.0,114.20527531547168
Swainsons Thrush,2005,0.2,8.093658950385223,19.0,96.0,613.385500582652,-0.2,0.0,4.0,13.0,82.12066491397024
Swainsons Thrush,2006,0.0,8.093658950385223,23.0,109.0,695.5061654966222,0.2,0.0,1.0,-8.0,-6.858380652262554
Swainsons Thrush,2007,0.2,8.093658950385223,24.0,101.0,688.6477848443596,1.8,0.0,-2.0,-8.0,-91.34507924893
Swainsons Thrush,2008,2.0,8.093658950385223,22.0,93.0,597.3027055954296,0.0,0.0,-3.0,14.0,57.366118190624775
Swainsons Thrush,2009,2.0,8.093658950385223,19.0,107.0,654.6688237860544,1.0,0.0,4.0,2.0,27.50681673157078
Swainsons Thrush,2010,3.0,8.093658950385223,23.0,109.0,682.1756405176252,-1.0,0.0,0.0,-12.0,-68.83183687628036
Swainsons Thrush,2011,2.0,8.093658950385223,23.0,97.0,613.3438036413448,-1.0,0.0,-2.0,9.0,65.51972751767255
Swainsons Thrush,2012,1.0,8.093658950385223,21.0,106.0,678.8635311590174,1.0,0.0,1.0,15.0,49.829950069092774
Swainsons Thrush,2013,2.0,8.093658950385223,22.0,121.0,728.6934812281102,0.0,0.0,2.0,-7.0,-32.61267620037563
Swainsons Thrush,2014,2.0,8.093658950385223,24.0,114.0,696.0808050277345,0.0,0.0,0.0,1.0,130.57125964865213
Brown creeper,1986,0.5,3.4635015375621987,20.0,92.0,541.1675599992918,-0.5,0.0,-2.0,-6.0,-52.000148766845086
Brown creeper,1987,0.0,3.4635015375621987,18.0,86.0,489.16741123244674,0.5,0.0,6.0,28.0,149.5887045652214
Brown creeper,1988,0.5,3.4635015375621987,24.0,114.0,638.7561157976681,-0.5,0.0,-3.0,-12.0,-51.561296284493665
Brown creeper,1989,0.0,3.4635015375621987,21.0,102.0,587.1948195131745,2.5,0.0,5.0,32.0,169.76647504189418
Brown creeper,1990,2.5,3.4635015375621987,26.0,134.0,756.9612945550687,-0.5,0.0,-1.0,-13.0,-94.83080373801465
Brown creeper,1991,2.0,3.4635015375621987,25.0,121.0,662.130490817054,-1.5,0.0,0.0,9.0,98.21206532250051
Brown creeper,1992,0.5,3.4635015375621987,25.0,130.0,760.3425561395545,-0.5,0.0,-4.0,-35.0,-245.2662580152604
Brown creeper,1993,0.0,3.4635015375621987,21.0,95.0,515.0762981242941,1.5,0.0,0.0,-10.0,-16.42080807526878
Brown creeper,1994,1.5,3.4635015375621987,21.0,85.0,498.65549004902533,-1.5,0.0,-2.0,-11.0,54.74896776042334
Brown creeper,1995,0.0,3.4635015375621987,19.0,74.0,553.4044578094487,1.0,0.0,2.0,19.0,48.729717722541864
