census,species,n,N_t,S_t,dn,dN,dS
6,4,23.93932270507105,274.6479646391971,12,2.040008504273789,45.7020078047222,0
6,5,14.820308806810706,274.6479646391971,12,1.4390575736337876,45.7020078047222,0
6,6,26.037832592504174,274.6479646391971,12,2.545277221789714,45.7020078047222,0
6,7,4.815813973813595,274.6479646391971,12,0.4614573427715962,45.7020078047222,0
6,8,3.5577739341942882,274.6479646391971,12,-0.001771625523667275,45.7020078047222,0
6,9,6.855657730827127,274.6479646391971,12,-0.003376008950811027,45.7020078047222,0
6,10,7.047072914152433,274.6479646391971,12,-0.003557451801667888,45.7020078047222,0
6,11,5.692067886909491,274.6479646391971,12,-0.0027989244241215516,45.7020078047222,0
7,0,67.07412930578133,319.78736754816083,12,12.946859115086347,45.139402908963746,0
7,1,94.93067842383573,319.78736754816083,12,15.882971985806648,45.139402908963746,0
7,2,41.80313755163036,319.78736754816083,12,5.864743999601458,45.139402908963746,0
7,3,16.0307930791692,319.78736754816083,12,3.2620491650079426,45.139402908963746,0
7,4,26.141484587351155,319.78736754816083,12,2.2021618822801052,45.139402908963746,0
7,5,16.428935212747852,319.78736754816083,12,1.6086264059371462,45.139402908963746,0
7,6,28.905960513610925,319.78736754816083,12,2.868127921106751,45.139402908963746,0
7,7,5.331172036245982,319.78736754816083,12,0.5153580624323864,45.139402908963746,0
7,8,3.5560028926512603,319.78736754816083,12,-0.0017710415430278736,45.139402908963746,0
7,9,6.852286701502431,319.78736754816083,12,-0.0033710293246960177,45.139402908963746,0
7,10,7.043512619604961,319.78736754816083,12,-0.003560294547471976,45.139402908963746,0
7,11,5.689274624029751,319.78736754816083,12,-0.0027932628797406878,45.139402908963746,0
8,0,79.18428788989858,360.4344183585466,12,12.110158584117258,40.64705081038579,0
8,1,108.21525416227662,360.4344183585466,12,13.284575738440893,40.64705081038579,0
8,2,45.86133374226362,360.4344183585466,12,4.058196190633261,40.64705081038579,0
8,3,19.257572879057314,360.4344183585466,12,3.2267797998881136,40.64705081038579,0
8,4,28.517453753697563,360.4344183585466,12,2.375969166346408,40.64705081038579,0
